Coordenada x (long);Coordenada y (lat);Conteo árboles
-76,087593;4,825556;359
-76,087593;4,821940;360
-76,087593;4,818323;361
-76,087593;4,814706;362
-76,087594;4,811090;363
-76,087594;4,807473;364
-76,087594;4,803856;365
-76,087594;4,800239;366
-76,087556;4,905120;367
-76,087556;4,901503;368
-76,087556;4,897886;369
-76,087556;4,894270;370
-76,087556;4,890653;371
-76,087556;4,887036;372
-76,087557;4,883419;373
-76,087557;4,879803;374
-76,087557;4,876186;375
-76,087557;4,865336;376
-76,087557;4,858102;377
-76,087557;4,854486;378
-76,087557;4,850869;379
-76,087557;4,847252;380
-76,087557;4,843635;381
-76,087557;4,840019;382
-76,087557;4,836402;383
-76,087557;4,832785;384
-76,087557;4,829168;385
-76,087557;4,825552;386
-76,087557;4,821935;387
-76,087557;4,818318;388
-76,087557;4,814702;389
-76,087557;4,811085;390
-76,087558;4,807468;391
-76,087558;4,803851;392
-76,087558;4,800235;393
-76,087520;4,908732;394
-76,087520;4,905115;395
-76,087520;4,901498;396
-76,087520;4,897882;397
-76,087520;4,894265;398
-76,087520;4,890648;399
-76,087520;4,887031;400
-76,087521;4,883415;401
-76,087521;4,879798;402
-76,087521;4,876181;403
-76,087521;4,872565;404
-76,087521;4,865331;405
-76,087521;4,854481;406
-76,087521;4,850864;407
-76,087521;4,847247;408
-76,087521;4,843631;409
-76,087521;4,840014;410
-76,087521;4,836397;411
-76,087521;4,832780;412
-76,087521;4,829164;413
-76,087521;4,825547;414
-76,087521;4,821930;415
-76,087521;4,818314;416
-76,087521;4,814697;417
-76,087521;4,807463;418
-76,087522;4,803847;419
-76,087522;4,800230;420
-76,087522;4,796613;421
-76,087484;4,908727;422
-76,087484;4,905110;423
-76,087484;4,901494;424
-76,087484;4,897877;425
-76,087484;4,894260;426
-76,087484;4,890643;427
-76,087484;4,887027;428
-76,087484;4,883410;429
-76,087485;4,879793;430
-76,087485;4,876177;431
-76,087485;4,872560;432
-76,087485;4,868943;433
-76,087485;4,865326;434
-76,087485;4,858093;435
-76,087485;4,854476;436
-76,087485;4,850859;437
-76,087485;4,847243;438
-76,087485;4,836393;439
-76,087485;4,832776;440
-76,087485;4,829159;441
-76,087485;4,825542;442
-76,087485;4,821926;443
-76,087485;4,818309;444
-76,087485;4,814692;445
-76,087485;4,811075;446
-76,087485;4,807459;447
-76,087486;4,803842;448
-76,087486;4,800225;449
-76,087486;4,796609;450
-76,087448;4,901489;451
-76,087448;4,897872;452
-76,087448;4,894255;453
-76,087448;4,890639;454
-76,087448;4,887022;455
-76,087448;4,883405;456
-76,087448;4,879789;457
-76,087449;4,876172;458
-76,087449;4,872555;459
-76,087449;4,868938;460
-76,087449;4,865322;461
-76,087449;4,861705;462
-76,087449;4,858088;463
-76,087449;4,854471;464
-76,087449;4,850855;465
-76,087449;4,847238;466
-76,087449;4,843621;467
-76,087449;4,840005;468
-76,087449;4,836388;469
-76,087449;4,832771;470
-76,087449;4,829154;471
-76,087449;4,825538;472
-76,087449;4,821921;473
-76,087449;4,818304;474
-76,087449;4,814687;475
-76,087449;4,811071;476
-76,087449;4,807454;477
-76,087449;4,803837;478
-76,087450;4,800221;479
-76,087450;4,796604;480
-76,087412;4,897868;481
-76,087412;4,894251;482
-76,087412;4,890634;483
-76,087412;4,887017;484
-76,087412;4,883401;485
-76,087412;4,879784;486
-76,087413;4,876167;487
-76,087413;4,872550;488
-76,087413;4,868934;489
-76,087413;4,865317;490
-76,087413;4,861700;491
-76,087413;4,858084;492
-76,087413;4,854467;493
-76,087413;4,850850;494
-76,087413;4,847233;495
-76,087413;4,843617;496
-76,087413;4,840000;497
-76,087413;4,836383;498
-76,087413;4,832766;499
-76,087413;4,829150;500
-76,087413;4,825533;501
-76,087413;4,821916;502
-76,087413;4,818299;503
-76,087413;4,814683;504
-76,087413;4,811066;505
-76,087413;4,807449;506
-76,087413;4,803833;507
-76,087413;4,800216;508
-76,087414;4,796599;509
-76,087414;4,792982;510
-76,087376;4,890629;511
-76,087376;4,887013;512
-76,087376;4,883396;513
-76,087376;4,879779;514
-76,087376;4,876162;515
-76,087377;4,872546;516
-76,087377;4,868929;517
-76,087377;4,865312;518
-76,087377;4,861696;519
-76,087377;4,858079;520
-76,087377;4,854462;521
-76,087377;4,850845;522
-76,087377;4,847229;523
-76,087377;4,843612;524
-76,087377;4,839995;525
-76,087377;4,836378;526
-76,087377;4,832762;527
-76,087377;4,829145;528
-76,087377;4,825528;529
-76,087377;4,821912;530
-76,087377;4,818295;531
-76,087377;4,814678;532
-76,087377;4,811061;533
-76,087377;4,807445;534
-76,087377;4,803828;535
-76,087377;4,800211;536
-76,087378;4,796594;537
-76,087378;4,792978;538
-76,087340;4,883391;539
-76,087340;4,879774;540
-76,087340;4,876158;541
-76,087341;4,872541;542
-76,087341;4,868924;543
-76,087341;4,865308;544
-76,087341;4,861691;545
-76,087341;4,858074;546
-76,087341;4,854457;547
-76,087341;4,850841;548
-76,087341;4,847224;549
-76,087341;4,843607;550
-76,087341;4,839990;551
-76,087341;4,829140;552
-76,087341;4,825524;553
-76,087341;4,821907;554
-76,087341;4,818290;555
-76,087341;4,814673;556
-76,087341;4,811057;557
-76,087341;4,807440;558
-76,087341;4,803823;559
-76,087341;4,800206;560
-76,087341;4,796590;561
-76,087342;4,792973;562
-76,087342;4,789356;563
-76,087304;4,879770;564
-76,087304;4,876153;565
-76,087304;4,872536;566
-76,087305;4,868920;567
-76,087305;4,865303;568
-76,087305;4,861686;569
-76,087305;4,858069;570
-76,087305;4,854453;571
-76,087305;4,850836;572
-76,087305;4,847219;573
-76,087305;4,843603;574
-76,087305;4,839986;575
-76,087305;4,829136;576
-76,087305;4,825519;577
-76,087305;4,821902;578
-76,087305;4,818285;579
-76,087305;4,814669;580
-76,087305;4,811052;581
-76,087305;4,807435;582
-76,087305;4,803818;583
-76,087305;4,800202;584
-76,087305;4,796585;585
-76,087306;4,792968;586
-76,087268;4,872532;587
-76,087268;4,868915;588
-76,087269;4,865298;589
-76,087269;4,861681;590
-76,087269;4,858065;591
-76,087269;4,854448;592
-76,087269;4,850831;593
-76,087269;4,847215;594
-76,087269;4,843598;595
-76,087269;4,839981;596
-76,087269;4,836364;597
-76,087269;4,832748;598
-76,087269;4,829131;599
-76,087269;4,825514;600
-76,087269;4,821897;601
-76,087269;4,818281;602
-76,087269;4,814664;603
-76,087269;4,811047;604
-76,087269;4,807431;605
-76,087269;4,803814;606
-76,087269;4,800197;607
-76,087233;4,865293;608
-76,087233;4,861677;609
-76,087233;4,858060;610
-76,087233;4,854443;611
-76,087233;4,850827;612
-76,087233;4,847210;613
-76,087233;4,843593;614
-76,087233;4,839976;615
-76,087233;4,836360;616
-76,087233;4,832743;617
-76,087233;4,829126;618
-76,087233;4,825509;619
-76,087233;4,821893;620
-76,087233;4,818276;621
-76,087233;4,814659;622
-76,087233;4,811043;623
-76,087233;4,807426;624
-76,087197;4,858055;625
-76,087197;4,854439;626
-76,087197;4,850822;627
-76,087197;4,847205;628
-76,087197;4,843588;629
-76,087197;4,839972;630
-76,087197;4,836355;631
-76,087197;4,832738;632
-76,087197;4,829122;633
-76,087197;4,825505;634
-76,087197;4,821888;635
-76,087197;4,818271;636
-76,087197;4,814655;637
-76,087161;4,836350;638
-76,087161;4,832734;639
-76,087161;4,829117;640
-76,087161;4,825500;641
-76,087161;4,821883;642
