nm_ema;fc_obsrvcion;tmp_mxma;tmp_mnma;hmd_rel_mdia;rdcion_slar
Bugalagrande;2011-03-09;27.5;19.7;85.0;516.0
La Paila;2011-03-09;27.8;18.2;84.0;408.0
Bugalagrande;2011-03-10;29.0;18.7;86.0;358.0
La Paila;2011-03-10;28.0;17.6;82.0;288.0
Bugalagrande;2011-03-11;30.9;17.4;78.0;618.0
La Paila;2011-03-11;29.2;16.2;78.0;447.0
Bugalagrande;2011-03-12;30.7;18.6;81.0;488.0
La Paila;2011-03-12;29.7;17.7;79.0;447.0
Bugalagrande;2011-03-13;31.4;18.1;78.0;382.0
La Paila;2011-03-13;29.7;17.0;76.0;421.0
Bugalagrande;2011-03-14;31.6;15.3;77.0;411.0
La Paila;2011-03-14;30.2;15.2;74.0;482.0
Bugalagrande;2011-03-15;31.2;18.8;75.0;462.0
La Paila;2011-03-15;30.5;18.2;73.0;417.0
Bugalagrande;2011-03-16;30.7;18.9;79.0;436.0
La Paila;2011-03-16;30.8;18.6;74.0;438.0
Bugalagrande;2011-03-17;29.8;18.9;84.0;365.0
La Paila;2011-03-17;29.5;18.7;78.0;327.0
Bugalagrande;2011-03-18;30.0;19.0;84.0;378.0
La Paila;2011-03-18;28.5;18.2;81.0;301.0
Bugalagrande;2011-03-19;30.5;19.5;89.0;427.0
La Paila;2011-03-19;29.7;18.3;87.0;339.0
Bugalagrande;2011-03-20;26.9;18.9;94.0;287.0
La Paila;2011-03-20;25.5;17.4;93.0;246.0
Bugalagrande;2011-03-21;29.8;18.1;85.0;527.0
La Paila;2011-03-21;28.4;17.6;83.0;421.0
Bugalagrande;2011-03-22;29.6;18.7;90.0;452.0
La Paila;2011-03-22;28.5;18.0;86.0;358.0
Bugalagrande;2011-03-23;29.4;19.3;88.0;434.0
La Paila;2011-03-23;28.7;18.5;87.0;341.0
Bugalagrande;2011-03-24;29.7;19.4;89.0;417.0
La Paila;2011-03-24;28.6;18.8;87.0;317.0
Bugalagrande;2011-03-25;28.3;19.7;91.0;335.0
La Paila;2011-03-25;27.7;19.2;89.0;303.0
Bugalagrande;2011-03-26;29.9;19.4;88.0;366.0
La Paila;2011-03-26;28.5;18.7;87.0;244.0
Bugalagrande;2011-03-27;32.6;18.1;82.0;484.0
La Paila;2011-03-27;32.2;17.1;80.0;452.0
Bugalagrande;2011-03-28;30.4;18.2;91.0;359.0
La Paila;2011-03-28;29.7;17.6;90.0;303.0
Bugalagrande;2011-03-29;30.9;18.2;84.0;518.0
La Paila;2011-03-29;29.9;17.2;85.0;420.0
Bugalagrande;2011-03-30;31.6;18.2;84.0;455.0
La Paila;2011-03-30;30.4;17.8;80.0;471.0
Bugalagrande;2011-03-31;32.4;19.1;84.0;509.0
La Paila;2011-03-31;30.7;18.0;80.0;421.0
Bugalagrande;2011-04-01;31.8;20.2;82.0;542.0
La Paila;2011-04-01;31.1;19.0;79.0;450.0
Bugalagrande;2011-04-02;30.7;19.4;86.0;503.0
La Paila;2011-04-02;29.6;18.5;83.0;430.0
Bugalagrande;2011-04-03;31.0;17.9;82.0;461.0
La Paila;2011-04-03;29.7;17.8;82.0;388.0
Bugalagrande;2011-04-04;30.3;19.9;89.0;375.0
La Paila;2011-04-04;28.3;19.0;86.0;311.0
