nm_ema;fc_obsrvcion;tmp_mxma;tmp_mnma;hmd_rel_mdia;rdcion_slar
Bugalagrande;2020-06-01;31.8;20.0;88.0;387.9
La Paila;2020-06-01;30.4;19.1;89.0;324.9
Bugalagrande;2020-06-02;29.2;19.9;85.0;369.2
La Paila;2020-06-02;30.9;19.3;85.0;431.0
Bugalagrande;2020-06-03;23.7;18.8;98.0;135.6
La Paila;2020-06-03;26.3;19.3;94.0;266.4
Bugalagrande;2020-06-04;30.6;18.8;85.0;500.9
La Paila;2020-06-04;29.6;19.3;84.0;475.2
Bugalagrande;2020-06-05;31.7;19.5;85.0;432.2
La Paila;2020-06-05;31.6;19.3;86.0;422.8
Bugalagrande;2020-06-06;29.6;18.8;88.0;331.0
La Paila;2020-06-06;29.1;19.3;88.0;347.0
Bugalagrande;2020-06-07;31.8;18.8;86.0;487.8
La Paila;2020-06-07;32.0;19.0;83.0;461.0
Bugalagrande;2020-06-08;31.3;18.1;82.0;498.2
La Paila;2020-06-08;31.6;18.6;81.0;505.5
Bugalagrande;2020-06-09;32.0;18.8;81.0;440.7
La Paila;2020-06-09;30.9;19.8;80.0;422.9
Bugalagrande;2020-06-10;31.0;18.8;79.0;464.7
La Paila;2020-06-10;30.4;18.6;77.0;427.7
Bugalagrande;2020-06-11;30.3;19.5;82.0;365.0
La Paila;2020-06-11;29.4;19.8;84.0;417.0
Bugalagrande;2020-06-12;30.6;19.5;82.0;440.7
La Paila;2020-06-12;30.8;19.8;81.0;503.1
Bugalagrande;2020-06-13;32.5;18.1;86.0;476.1
La Paila;2020-06-13;32.1;18.6;83.0;519.0
Bugalagrande;2020-06-14;31.7;19.5;89.0;473.7
La Paila;2020-06-14;31.5;19.3;88.0;439.1
Bugalagrande;2020-06-15;32.5;19.5;79.0;515.5
La Paila;2020-06-15;32.5;19.1;81.0;519.2
Bugalagrande;2020-06-16;31.0;18.6;83.0;452.3
La Paila;2020-06-16;32.3;18.8;85.0;481.4
Bugalagrande;2020-06-17;27.5;18.8;92.0;281.9
La Paila;2020-06-17;27.0;19.3;92.0;281.0
Bugalagrande;2020-06-18;31.1;18.8;83.0;501.0
La Paila;2020-06-18;31.1;18.6;82.0;449.6
Bugalagrande;2020-06-19;30.8;19.5;78.0;501.0
La Paila;2020-06-19;30.9;19.8;79.0;430.4
Bugalagrande;2020-06-20;31.8;19.5;84.0;470.8
La Paila;2020-06-20;32.0;20.5;80.0;493.6
Bugalagrande;2020-06-21;31.8;19.5;79.0;514.0
La Paila;2020-06-21;32.6;20.2;79.0;529.0
Bugalagrande;2020-06-22;31.3;20.2;77.0;502.9
La Paila;2020-06-22;31.6;19.8;79.0;444.8
Bugalagrande;2020-06-23;30.6;18.8;82.0;409.0
La Paila;2020-06-23;31.6;19.3;80.0;417.1
Bugalagrande;2020-06-24;31.5;18.1;79.0;502.2
La Paila;2020-06-24;31.6;18.6;77.0;521.4
Bugalagrande;2020-06-25;32.4;18.8;79.0;427.6
La Paila;2020-06-25;30.9;19.8;80.0;379.6
Bugalagrande;2020-06-26;30.4;19.0;83.0;415.9
La Paila;2020-06-26;31.3;19.8;81.0;330.4
Bugalagrande;2020-06-27;31.1;19.5;79.0;528.6
La Paila;2020-06-27;31.6;20.0;82.0;543.8
Bugalagrande;2020-06-28;26.8;19.3;88.0;299.5
La Paila;2020-06-28;27.5;19.3;89.0;304.7
Bugalagrande;2020-06-29;32.0;17.4;82.0;541.6
La Paila;2020-06-29;31.5;17.9;81.0;578.8
Bugalagrande;2020-06-30;31.0;19.5;80.0;436.9
La Paila;2020-06-30;30.8;20.0;82.0;362.5
Bugalagrande;2020-07-01;31.3;19.2;87.0;458.9
La Paila;2020-07-01;30.9;19.3;87.0;360.7
Bugalagrande;2020-07-02;29.7;19.5;84.0;488.5
La Paila;2020-07-02;30.6;19.3;83.0;478.5
Bugalagrande;2020-07-03;28.9;19.5;85.0;334.8
La Paila;2020-07-03;28.0;19.3;83.0;302.5
Bugalagrande;2020-07-04;28.3;18.8;90.0;393.4
La Paila;2020-07-04;29.4;19.3;88.0;413.2
Bugalagrande;2020-07-05;28.3;18.1;92.0;325.5
La Paila;2020-07-05;28.3;19.1;91.0;310.6
Bugalagrande;2020-07-06;29.9;17.4;84.0;495.9
La Paila;2020-07-06;30.1;18.5;84.0;481.2
Bugalagrande;2020-07-07;29.9;19.9;86.0;345.1
La Paila;2020-07-07;29.6;20.5;84.0;334.1
Bugalagrande;2020-07-08;30.4;18.5;79.0;498.7
La Paila;2020-07-08;30.8;18.6;80.0;481.2
Bugalagrande;2020-07-09;32.7;18.8;76.0;457.6
La Paila;2020-07-09;32.1;19.3;75.0;592.7
Bugalagrande;2020-07-10;28.3;19.5;91.0;280.1
La Paila;2020-07-10;28.9;19.3;89.0;306.3
Bugalagrande;2020-07-11;28.7;18.8;85.0;419.4
La Paila;2020-07-11;28.9;19.3;84.0;401.0
Bugalagrande;2020-07-12;28.9;18.1;86.0;377.3
La Paila;2020-07-12;29.1;19.3;85.0;388.6
Bugalagrande;2020-07-13;32.4;18.8;80.0;468.3
La Paila;2020-07-13;31.6;19.3;79.0;473.2
Bugalagrande;2020-07-14;31.8;18.8;79.0;469.0
La Paila;2020-07-14;32.0;19.1;78.0;495.4
Bugalagrande;2020-07-15;32.5;17.9;79.0;471.4
La Paila;2020-07-15;33.3;17.9;80.0;538.2
Bugalagrande;2020-07-16;32.0;18.8;75.0;435.0
La Paila;2020-07-16;31.8;19.1;76.0;484.0
Bugalagrande;2020-07-17;33.6;16.7;79.0;590.4
La Paila;2020-07-17;33.7;17.2;79.0;588.4
Bugalagrande;2020-07-18;33.2;16.7;77.0;595.8
La Paila;2020-07-18;32.8;17.6;79.0;550.3
Bugalagrande;2020-07-19;32.0;18.1;78.0;463.0
La Paila;2020-07-19;31.6;18.3;80.0;523.0
Bugalagrande;2020-07-20;31.3;19.2;79.0;452.9
La Paila;2020-07-20;30.9;19.3;79.0;417.6
Bugalagrande;2020-07-21;31.3;18.8;85.0;429.4
La Paila;2020-07-21;30.9;19.8;82.0;442.8
Bugalagrande;2020-07-22;28.5;18.8;86.0;384.6
La Paila;2020-07-22;28.9;19.3;83.0;466.6
Bugalagrande;2020-07-23;29.9;17.4;85.0;448.3
La Paila;2020-07-23;30.9;18.3;85.0;419.9
Bugalagrande;2020-07-24;30.6;18.8;86.0;526.7
La Paila;2020-07-24;30.9;19.3;86.0;461.3
Bugalagrande;2020-07-25;27.8;18.3;88.0;315.7
La Paila;2020-07-25;26.9;19.3;89.0;267.6
Bugalagrande;2020-07-26;31.7;17.4;80.0;552.0
La Paila;2020-07-26;32.3;17.9;80.0;481.6
Bugalagrande;2020-07-27;30.3;19.0;80.0;452.0
La Paila;2020-07-27;30.3;20.0;80.0;414.7
Bugalagrande;2020-07-28;32.0;19.2;81.0;527.6
La Paila;2020-07-28;32.6;19.3;77.0;537.7
Bugalagrande;2020-07-29;32.7;17.6;79.0;472.7
La Paila;2020-07-29;32.3;19.0;80.0;497.6
Bugalagrande;2020-07-30;32.0;17.4;85.0;439.7
La Paila;2020-07-30;33.1;19.3;79.0;514.9
Bugalagrande;2020-07-31;33.7;18.5;80.0;605.6
La Paila;2020-07-31;34.2;19.3;76.0;569.7
Bugalagrande;2020-08-01;32.7;18.1;76.0;533.1
La Paila;2020-08-01;33.5;19.3;75.0;546.5
Bugalagrande;2020-08-02;34.1;16.4;73.0;621.9
La Paila;2020-08-02;33.7;16.6;73.0;584.6
Bugalagrande;2020-08-03;33.4;16.7;74.0;533.2
La Paila;2020-08-03;33.0;17.9;74.0;505.8
Bugalagrande;2020-08-04;33.1;17.4;69.0;619.8
La Paila;2020-08-04;33.0;18.6;68.0;602.3
Bugalagrande;2020-08-05;31.0;16.9;74.0;415.6
La Paila;2020-08-05;31.5;17.9;72.0;426.1
Bugalagrande;2020-08-06;30.1;16.4;79.0;360.2
La Paila;2020-08-06;30.4;17.2;78.0;344.1
Bugalagrande;2020-08-07;32.4;19.5;77.0;440.3
La Paila;2020-08-07;32.5;19.3;74.0;520.8
Bugalagrande;2020-08-08;34.3;18.1;74.0;607.8
La Paila;2020-08-08;34.4;18.8;74.0;484.2
Bugalagrande;2020-08-09;32.7;17.4;76.0;501.7
La Paila;2020-08-09;33.5;18.3;75.0;444.2
Bugalagrande;2020-08-10;32.7;18.8;76.0;485.6
La Paila;2020-08-10;33.7;20.3;74.0;484.7
Bugalagrande;2020-08-11;33.7;18.8;78.0;579.7
La Paila;2020-08-11;33.7;19.3;75.0;556.4
Bugalagrande;2020-08-12;31.3;18.8;81.0;487.4
La Paila;2020-08-12;32.8;19.3;79.0;583.5
Bugalagrande;2020-08-13;32.2;20.2;87.0;439.0
La Paila;2020-08-13;32.8;20.4;84.0;420.7
Bugalagrande;2020-08-14;30.4;19.7;89.0;420.5
La Paila;2020-08-14;29.7;19.8;88.0;409.9
Bugalagrande;2020-08-15;29.9;18.8;89.0;300.5
La Paila;2020-08-15;29.6;19.3;87.0;317.5
Bugalagrande;2020-08-16;29.2;18.1;86.0;457.7
La Paila;2020-08-16;30.2;18.3;81.0;508.6
Bugalagrande;2020-08-17;28.7;18.1;86.0;357.7
La Paila;2020-08-17;29.1;18.6;85.0;362.8
Bugalagrande;2020-08-18;29.9;20.2;87.0;495.8
La Paila;2020-08-18;30.2;20.3;88.0;388.1
Bugalagrande;2020-08-19;27.8;19.5;93.0;296.7
La Paila;2020-08-19;27.3;20.0;89.0;325.5
Bugalagrande;2020-08-20;30.6;19.5;83.0;544.4
La Paila;2020-08-20;31.6;19.8;82.0;515.5
Bugalagrande;2020-08-21;29.9;20.2;84.0;436.6
La Paila;2020-08-21;29.2;20.3;84.0;428.7
Bugalagrande;2020-08-22;29.9;18.5;86.0;380.0
La Paila;2020-08-22;29.6;19.3;85.0;395.4
Bugalagrande;2020-08-23;31.3;18.1;82.0;525.8
La Paila;2020-08-23;32.1;19.0;82.0;511.5
Bugalagrande;2020-08-24;30.6;18.1;79.0;608.8
La Paila;2020-08-24;30.6;18.6;80.0;555.7
Bugalagrande;2020-08-25;29.2;19.5;85.0;419.1
La Paila;2020-08-25;30.2;19.8;85.0;399.8
Bugalagrande;2020-08-26;31.3;19.5;79.0;569.5
La Paila;2020-08-26;30.9;19.0;79.0;502.5
Bugalagrande;2020-08-27;30.6;18.8;79.0;495.2
La Paila;2020-08-27;31.6;19.3;76.0;514.1
Bugalagrande;2020-08-28;31.1;18.1;77.0;602.0
La Paila;2020-08-28;31.6;17.9;76.0;544.6
Bugalagrande;2020-08-29;29.6;18.8;88.0;351.4
La Paila;2020-08-29;29.1;19.1;88.0;353.4
Bugalagrande;2020-08-30;27.5;17.8;89.0;307.5
La Paila;2020-08-30;27.5;18.6;87.0;334.8
Bugalagrande;2020-08-31;31.3;16.4;82.0;545.0
La Paila;2020-08-31;31.5;16.9;80.0;543.4
Bugalagrande;2020-09-01;30.3;19.0;83.0;438.3
La Paila;2020-09-01;30.6;19.8;86.0;418.9
Bugalagrande;2020-09-02;28.9;18.8;85.0;370.5
La Paila;2020-09-02;29.6;19.3;82.0;441.7
Bugalagrande;2020-09-03;32.4;17.4;76.0;605.9
La Paila;2020-09-03;31.8;18.5;76.0;597.1
Bugalagrande;2020-09-04;29.2;19.9;83.0;269.6
La Paila;2020-09-04;30.9;20.0;80.0;435.7
Bugalagrande;2020-09-05;34.3;19.3;78.0;583.4
La Paila;2020-09-05;33.0;19.3;78.0;609.9
Bugalagrande;2020-09-06;29.9;18.8;80.0;512.7
La Paila;2020-09-06;30.9;19.3;79.0;548.8
Bugalagrande;2020-09-07;30.6;16.9;76.0;418.3
La Paila;2020-09-07;30.1;17.2;77.0;518.3
Bugalagrande;2020-09-08;26.8;18.8;89.0;279.0
La Paila;2020-09-08;26.8;19.3;86.0;339.9
Bugalagrande;2020-09-09;30.6;16.7;80.0;625.0
La Paila;2020-09-09;30.6;17.2;79.0;562.9
Bugalagrande;2020-09-10;32.7;18.1;78.0;513.7
La Paila;2020-09-10;33.0;18.6;77.0;625.1
Bugalagrande;2020-09-11;32.7;18.1;83.0;470.9
La Paila;2020-09-11;32.3;18.6;82.0;477.8
Bugalagrande;2020-09-12;32.0;17.4;82.0;477.1
La Paila;2020-09-12;31.5;18.5;78.0;494.2
Bugalagrande;2020-09-13;32.4;18.1;80.0;362.4
La Paila;2020-09-13;32.3;18.6;82.0;499.2
Bugalagrande;2020-09-14;33.1;17.4;77.0;466.3
La Paila;2020-09-14;33.3;17.4;79.0;586.9
Bugalagrande;2020-09-15;31.0;17.4;81.0;368.9
La Paila;2020-09-15;31.6;17.9;79.0;519.1
Bugalagrande;2020-09-16;29.9;17.4;84.0;449.4
La Paila;2020-09-16;29.9;17.9;85.0;459.2
Bugalagrande;2020-09-17;29.9;17.4;81.0;401.4
La Paila;2020-09-17;30.9;19.3;80.0;539.3
Bugalagrande;2020-09-18;30.4;18.8;88.0;340.0
La Paila;2020-09-18;30.6;19.3;83.0;388.0
Bugalagrande;2020-09-19;32.0;17.4;81.0;531.6
La Paila;2020-09-19;32.0;17.9;78.0;573.0
Bugalagrande;2020-09-20;32.0;18.8;85.0;275.9
La Paila;2020-09-20;30.9;20.0;82.0;395.9
Bugalagrande;2020-09-21;32.9;18.1;78.0;430.0
La Paila;2020-09-21;32.3;19.3;77.0;529.6
Bugalagrande;2020-09-22;32.7;18.6;78.0;467.6
La Paila;2020-09-22;33.0;19.3;77.0;536.2
Bugalagrande;2020-09-23;30.6;18.3;80.0;371.0
La Paila;2020-09-23;30.2;18.6;80.0;386.9
Bugalagrande;2020-09-24;32.5;18.5;80.0;542.1
La Paila;2020-09-24;33.0;18.6;81.0;504.1
Bugalagrande;2020-09-25;32.7;17.1;78.0;565.7
La Paila;2020-09-25;32.0;16.6;76.0;559.1
Bugalagrande;2020-09-26;30.6;18.8;78.0;427.6
La Paila;2020-09-26;30.9;17.9;82.0;356.0
Bugalagrande;2020-09-27;32.7;18.5;82.0;569.1
La Paila;2020-09-27;32.3;19.3;79.0;546.7
Bugalagrande;2020-09-28;32.7;18.8;79.0;584.8
La Paila;2020-09-28;32.7;18.6;77.0;508.7
Bugalagrande;2020-09-29;29.2;17.4;80.0;328.9
La Paila;2020-09-29;29.6;18.6;79.0;347.4
Bugalagrande;2020-09-30;32.7;18.1;79.0;395.9
La Paila;2020-09-30;32.3;19.1;77.0;453.4
Bugalagrande;2020-10-01;33.2;17.4;75.0;518.9
La Paila;2020-10-01;32.8;17.9;76.0;499.9
Bugalagrande;2020-10-02;32.7;17.4;76.0;489.8
La Paila;2020-10-02;31.8;19.1;75.0;477.7
Bugalagrande;2020-10-03;32.5;17.4;78.0;452.9
La Paila;2020-10-03;30.8;19.1;75.0;389.0
Bugalagrande;2020-10-04;27.0;18.8;90.0;369.2
La Paila;2020-10-04;28.4;19.7;85.0;390.6
Bugalagrande;2020-10-05;32.9;18.5;78.0;569.8
La Paila;2020-10-05;32.3;18.6;77.0;580.3
Bugalagrande;2020-10-06;32.0;17.4;78.0;546.0
La Paila;2020-10-06;32.1;18.1;78.0;507.6
Bugalagrande;2020-10-07;29.6;17.4;88.0;319.5
La Paila;2020-10-07;30.1;18.6;82.0;351.6
Bugalagrande;2020-10-08;31.7;18.1;79.0;585.1
La Paila;2020-10-08;32.0;18.8;80.0;505.2
Bugalagrande;2020-10-09;33.4;17.6;77.0;500.8
La Paila;2020-10-09;31.5;19.0;78.0;491.4
Bugalagrande;2020-10-10;34.6;16.4;74.0;606.3
La Paila;2020-10-10;34.0;16.6;74.0;604.4
Bugalagrande;2020-10-11;33.2;18.3;74.0;537.4
La Paila;2020-10-11;32.3;19.3;74.0;502.1
Bugalagrande;2020-10-12;33.9;16.9;74.0;606.6
La Paila;2020-10-12;34.0;18.5;75.0;587.0
Bugalagrande;2020-10-13;30.3;19.5;78.0;418.1
La Paila;2020-10-13;29.9;19.8;80.0;461.4
Bugalagrande;2020-10-14;32.9;17.4;81.0;588.6
La Paila;2020-10-14;32.7;18.3;79.0;602.4
Bugalagrande;2020-10-15;32.7;17.4;81.0;587.6
La Paila;2020-10-15;31.8;18.6;79.0;587.1
Bugalagrande;2020-10-16;32.7;18.8;79.0;522.1
La Paila;2020-10-16;31.6;20.4;77.0;406.5
Bugalagrande;2020-10-17;30.6;18.5;79.0;357.0
La Paila;2020-10-17;31.6;18.6;79.0;417.8
Bugalagrande;2020-10-18;32.7;18.1;81.0;433.3
La Paila;2020-10-18;31.5;19.5;78.0;448.8
Bugalagrande;2020-10-19;27.0;18.8;90.0;316.9
La Paila;2020-10-19;27.0;19.1;88.0;303.5
Bugalagrande;2020-10-20;32.0;18.1;78.0;623.1
La Paila;2020-10-20;31.6;18.6;76.0;607.6
Bugalagrande;2020-10-21;30.3;19.5;81.0;358.7
La Paila;2020-10-21;30.3;20.4;79.0;382.9
Bugalagrande;2020-10-22;32.5;19.5;80.0;515.8
La Paila;2020-10-22;32.3;20.5;79.0;417.2
Bugalagrande;2020-10-23;32.4;18.8;84.0;497.5
La Paila;2020-10-23;32.8;19.7;84.0;427.9
Bugalagrande;2020-10-24;26.8;18.5;88.0;301.5
La Paila;2020-10-24;27.5;19.3;88.0;350.8
Bugalagrande;2020-10-25;32.0;16.7;80.0;552.6
La Paila;2020-10-25;31.8;17.2;82.0;513.1
Bugalagrande;2020-10-26;32.5;19.5;86.0;532.9
La Paila;2020-10-26;32.3;20.0;81.0;525.3
Bugalagrande;2020-10-27;30.6;17.9;90.0;400.0
La Paila;2020-10-27;31.5;17.9;88.0;419.6
Bugalagrande;2020-10-28;28.5;16.7;85.0;394.7
La Paila;2020-10-28;28.5;16.9;84.0;387.9
Bugalagrande;2020-10-29;31.3;17.1;76.0;591.1
La Paila;2020-10-29;31.1;17.2;76.0;553.7
Bugalagrande;2020-10-30;31.3;18.1;80.0;459.2
La Paila;2020-10-30;31.6;19.3;78.0;466.0
Bugalagrande;2020-10-31;28.0;19.7;89.0;309.4
La Paila;2020-10-31;28.5;20.0;83.0;297.5
Bugalagrande;2020-11-01;29.2;18.8;79.0;462.6
La Paila;2020-11-01;30.3;19.3;76.0;469.3
Bugalagrande;2020-11-02;32.7;18.8;75.0;588.6
La Paila;2020-11-02;32.1;19.3;74.0;542.9
Bugalagrande;2020-11-03;32.4;18.3;72.0;585.5
La Paila;2020-11-03;32.8;18.6;73.0;545.8
Bugalagrande;2020-11-04;32.9;16.9;74.0;599.1
La Paila;2020-11-04;32.3;17.2;73.0;587.8
Bugalagrande;2020-11-05;29.9;18.8;81.0;353.9
La Paila;2020-11-05;30.2;20.0;79.0;301.3
Bugalagrande;2020-11-06;29.9;18.8;81.0;465.3
La Paila;2020-11-06;29.6;19.3;80.0;388.1
Bugalagrande;2020-11-07;33.2;18.1;74.0;561.6
La Paila;2020-11-07;32.3;18.6;74.0;548.4
Bugalagrande;2020-11-08;32.3;16.7;75.0;549.4
La Paila;2020-11-08;31.8;17.2;77.0;531.1
Bugalagrande;2020-11-09;30.6;19.5;90.0;339.7
La Paila;2020-11-09;29.9;20.0;89.0;305.8
Bugalagrande;2020-11-10;28.2;19.0;92.0;301.8
La Paila;2020-11-10;29.2;20.0;89.0;342.9
Bugalagrande;2020-11-11;26.3;18.1;92.0;310.4
La Paila;2020-11-11;27.0;18.6;91.0;230.4
Bugalagrande;2020-11-12;29.2;17.4;83.0;420.4
La Paila;2020-11-12;29.6;18.3;83.0;378.3
Bugalagrande;2020-11-13;31.0;19.3;86.0;520.6
La Paila;2020-11-13;31.1;19.3;81.0;545.1
Bugalagrande;2020-11-14;28.2;18.1;85.0;419.8
La Paila;2020-11-14;28.9;18.6;82.0;462.3
Bugalagrande;2020-11-15;31.3;18.5;78.0;570.2
La Paila;2020-11-15;31.6;18.3;76.0;550.7
Bugalagrande;2020-11-16;30.6;18.8;82.0;456.1
La Paila;2020-11-16;30.2;19.3;79.0;462.5
Bugalagrande;2020-11-17;27.8;19.5;90.0;298.1
La Paila;2020-11-17;27.0;19.8;89.0;279.2
Bugalagrande;2020-11-18;30.3;18.8;83.0;543.4
La Paila;2020-11-18;30.8;20.0;81.0;527.1
Bugalagrande;2020-11-19;30.3;19.5;83.0;493.0
La Paila;2020-11-19;30.8;20.2;83.0;488.9
Bugalagrande;2020-11-20;28.2;20.0;89.0;376.8
La Paila;2020-11-20;29.6;20.0;87.0;405.0
Bugalagrande;2020-11-21;30.3;18.5;85.0;464.7
La Paila;2020-11-21;30.2;18.6;84.0;508.7
Bugalagrande;2020-11-22;32.0;18.1;80.0;516.1
La Paila;2020-11-22;32.3;19.3;80.0;495.2
Bugalagrande;2020-11-23;33.1;18.1;81.0;503.1
La Paila;2020-11-23;32.3;20.0;78.0;487.6
Bugalagrande;2020-11-24;31.3;20.2;87.0;526.1
La Paila;2020-11-24;32.0;19.8;86.0;445.4
Bugalagrande;2020-11-25;29.2;18.8;87.0;437.2
La Paila;2020-11-25;31.5;19.5;86.0;377.9
Bugalagrande;2020-11-26;30.3;18.1;85.0;573.1
La Paila;2020-11-26;30.9;18.6;85.0;513.6
Bugalagrande;2020-11-27;28.6;19.2;89.0;376.6
La Paila;2020-11-27;29.6;19.6;88.0;479.7
Bugalagrande;2020-11-28;29.2;18.6;83.0;526.5
La Paila;2020-11-28;30.1;19.3;83.0;466.4
Bugalagrande;2020-11-29;30.6;19.5;82.0;467.5
La Paila;2020-11-29;33.0;20.0;78.0;443.6
Bugalagrande;2020-11-30;30.6;18.6;84.0;432.1
La Paila;2020-11-30;30.2;19.3;86.0;377.4
Bugalagrande;2020-12-01;29.9;17.4;85.0;483.6
La Paila;2020-12-01;30.2;18.8;84.0;376.3
Bugalagrande;2020-12-02;29.0;19.2;89.0;365.6
La Paila;2020-12-02;29.0;20.3;86.0;428.2
Bugalagrande;2020-12-03;31.0;19.5;84.0;469.1
La Paila;2020-12-03;31.3;20.0;82.0;497.0
Bugalagrande;2020-12-04;32.0;18.8;84.0;503.8
La Paila;2020-12-04;30.9;20.0;80.0;425.1
Bugalagrande;2020-12-05;30.4;18.1;83.0;405.3
La Paila;2020-12-05;31.3;18.6;81.0;395.1
Bugalagrande;2020-12-06;32.0;18.5;80.0;497.1
La Paila;2020-12-06;32.0;19.3;78.0;445.6
Bugalagrande;2020-12-07;30.6;18.8;82.0;462.3
La Paila;2020-12-07;31.0;19.8;80.0;460.2
Bugalagrande;2020-12-08;30.3;19.5;88.0;438.1
La Paila;2020-12-08;30.3;19.8;85.0;357.2
Bugalagrande;2020-12-09;30.8;18.1;87.0;491.9
La Paila;2020-12-09;30.9;19.0;82.0;411.2
Bugalagrande;2020-12-10;31.3;18.8;83.0;496.0
La Paila;2020-12-10;32.1;19.8;79.0;447.9
Bugalagrande;2020-12-11;30.6;17.4;81.0;458.2
La Paila;2020-12-11;31.3;19.7;77.0;440.8
Bugalagrande;2020-12-12;31.7;18.1;79.0;518.2
La Paila;2020-12-12;31.6;19.7;76.0;463.5
Bugalagrande;2020-12-13;31.7;18.5;79.0;524.7
La Paila;2020-12-13;32.1;18.6;78.0;439.2
Bugalagrande;2020-12-14;31.3;17.4;80.0;454.2
La Paila;2020-12-14;31.3;18.3;78.0;444.6
Bugalagrande;2020-12-15;30.6;18.8;85.0;425.3
La Paila;2020-12-15;30.4;18.6;81.0;461.5
Bugalagrande;2020-12-16;32.0;18.8;79.0;565.8
La Paila;2020-12-16;32.1;18.6;78.0;499.9
Bugalagrande;2020-12-17;29.2;18.1;83.0;371.9
La Paila;2020-12-17;30.2;20.0;80.0;344.7
Bugalagrande;2020-12-18;30.6;18.8;82.0;510.1
La Paila;2020-12-18;30.9;20.0;83.0;431.2
Bugalagrande;2020-12-19;31.0;19.5;83.0;507.4
La Paila;2020-12-19;30.9;20.0;83.0;428.4
Bugalagrande;2020-12-20;29.2;19.5;84.0;357.5
La Paila;2020-12-20;29.9;19.8;84.0;355.4
Bugalagrande;2020-12-21;31.5;18.8;77.0;562.4
La Paila;2020-12-21;31.6;19.0;78.0;490.6
Bugalagrande;2020-12-22;29.9;17.6;82.0;396.5
La Paila;2020-12-22;30.1;18.8;80.0;336.7
Bugalagrande;2020-12-23;31.0;19.5;80.0;469.6
La Paila;2020-12-23;31.3;20.0;79.0;417.4
Bugalagrande;2020-12-24;31.0;18.8;82.0;422.0
La Paila;2020-12-24;30.9;19.7;78.0;360.8
Bugalagrande;2020-12-25;28.2;18.8;88.0;360.5
La Paila;2020-12-25;29.6;20.0;88.0;310.7
Bugalagrande;2020-12-26;27.5;18.1;91.0;293.8
La Paila;2020-12-26;26.3;18.6;90.0;269.2
Bugalagrande;2020-12-27;28.5;18.1;87.0;400.2
La Paila;2020-12-27;28.9;19.3;85.0;357.5
Bugalagrande;2020-12-28;29.4;17.9;85.0;502.0
La Paila;2020-12-28;29.7;18.3;81.0;434.6
Bugalagrande;2020-12-29;30.3;17.4;82.0;452.9
La Paila;2020-12-29;28.7;17.9;82.0;330.7
Bugalagrande;2020-12-30;30.6;17.6;83.0;423.7
La Paila;2020-12-30;30.1;19.1;78.0;431.5
Bugalagrande;2020-12-31;31.0;18.1;81.0;548.5
La Paila;2020-12-31;31.6;19.1;79.0;487.4
Bugalagrande;2021-01-01;30.6;18.8;86.0;444.4
La Paila;2021-01-01;30.9;20.0;86.0;401.9
Bugalagrande;2021-01-02;29.9;18.6;85.0;432.1
La Paila;2021-01-02;29.6;19.3;81.0;455.5
Bugalagrande;2021-01-03;29.9;18.8;88.0;405.7
La Paila;2021-01-03;29.4;19.7;86.0;401.3
Bugalagrande;2021-01-04;30.6;18.8;85.0;472.0
La Paila;2021-01-04;30.9;20.0;81.0;465.9
Bugalagrande;2021-01-05;26.5;18.5;93.0;230.9
La Paila;2021-01-05;26.5;20.0;86.0;261.2
Bugalagrande;2021-01-06;28.9;16.2;84.0;380.1
La Paila;2021-01-06;28.7;17.9;80.0;380.3
Bugalagrande;2021-01-07;31.1;18.8;81.0;506.0
La Paila;2021-01-07;31.5;19.7;77.0;441.2
Bugalagrande;2021-01-08;29.2;17.9;85.0;403.5
La Paila;2021-01-08;28.4;19.3;86.0;251.2
Bugalagrande;2021-01-09;28.6;18.1;85.0;424.5
La Paila;2021-01-09;28.7;18.3;84.0;417.4
Bugalagrande;2021-01-10;31.3;17.4;81.0;489.6
La Paila;2021-01-10;31.1;18.3;80.0;415.1
Bugalagrande;2021-01-11;30.6;19.2;84.0;439.6
La Paila;2021-01-11;29.9;20.0;84.0;431.2
Bugalagrande;2021-01-12;30.6;18.8;81.0;458.8
La Paila;2021-01-12;31.3;19.3;80.0;481.1
Bugalagrande;2021-01-13;31.7;16.2;81.0;466.9
La Paila;2021-01-13;31.6;17.9;79.0;540.5
Bugalagrande;2021-01-14;32.5;17.4;78.0;494.4
La Paila;2021-01-14;32.7;18.6;78.0;521.5
Bugalagrande;2021-01-15;32.0;18.1;79.0;468.6
La Paila;2021-01-15;32.0;19.3;77.0;469.0
Bugalagrande;2021-01-16;32.5;18.1;80.0;503.9
La Paila;2021-01-16;32.1;19.3;78.0;531.9
Bugalagrande;2021-01-17;31.0;17.6;79.0;502.6
La Paila;2021-01-17;31.6;19.3;76.0;489.0
Bugalagrande;2021-01-18;31.3;18.1;79.0;443.4
La Paila;2021-01-18;32.1;19.7;77.0;461.6
Bugalagrande;2021-01-19;32.2;16.7;77.0;534.2
La Paila;2021-01-19;32.8;17.9;75.0;489.3
Bugalagrande;2021-01-20;32.0;16.9;78.0;438.2
La Paila;2021-01-20;31.6;17.8;75.0;509.6
Bugalagrande;2021-01-21;32.4;17.4;79.0;463.5
La Paila;2021-01-21;32.0;18.3;74.0;499.9
Bugalagrande;2021-01-22;31.3;19.5;78.0;399.6
La Paila;2021-01-22;32.1;20.0;74.0;450.3
