HACIENDA;PLUV;Fecha;Precipitaci?n (mm);;;
Valparaiso ;308;11/01/2020;0;;;
Ukrania Morillo;501;11/01/2020;0;;;
Peralonso El Mateo;403;11/01/2020;0;;;
Peralonso ;404;11/01/2020;0;;;
1/2 Luna Caseta Caida ;411;11/01/2020;0;;;
Peralonso Los Chivos;405;11/01/2020;0;;;
Normandia;406;11/01/2020;0;;;
Normandia - Duran;407;11/01/2020;0;;;
Normandia;408;11/01/2020;0;;;
Normandia - Estacion Drenaje;409;11/01/2020;0;;;
Morillo ;502;12/01/2020;0;;;
La Luisa 2;207;12/01/2020;0;;;
La Luisa 2;208;12/01/2020;0;;;
La Luisa 2;209;12/01/2020;0;;;
La Luisa 2;210;12/01/2020;0;;;
Zambrano;213;12/01/2020;0;;;
San Carlos;700;12/01/2020;0;;;
La Luisa 1;211;12/01/2020;0;;;
La Luisa 1;212;12/01/2020;0;;;
Lagunas ;214;12/01/2020;0;;;
Lagunas ;215;12/01/2020;0;;;
Paila Arriba;303;12/01/2020;0;;;
Riopaila La Ranchera;304;12/01/2020;0;;;
Riopaila La Pista;305;12/01/2020;0;;;
Riopaila Agricola;417;12/01/2020;0;;;
Mangos;701;12/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;12/01/2020;0;;;
Venecia 1;401;12/01/2020;0;;;
Venecia 2;402;12/01/2020;0;;;
Tequendama ;412;12/01/2020;0;;;
Ukrania Venecia;414;12/01/2020;0;;;
Gertrudis ;503;12/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;12/01/2020;0;;;
San Nicolas;505;12/01/2020;0;;;
San Nicolas;506;12/01/2020;0;;;
Valparaiso ;307;12/01/2020;0;;;
Valparaiso ;308;12/01/2020;0;;;
Ukrania Morillo;501;12/01/2020;0;;;
Peralonso El Mateo;403;12/01/2020;0;;;
Peralonso ;404;12/01/2020;0;;;
1/2 Luna Caseta Caida ;411;12/01/2020;0;;;
Peralonso Los Chivos;405;12/01/2020;0;;;
Normandia;406;12/01/2020;0;;;
Normandia - Duran;407;12/01/2020;0;;;
Normandia;408;12/01/2020;0;;;
Normandia - Estacion Drenaje;409;12/01/2020;0;;;
Morillo ;502;13/01/2020;0;;;
La Luisa 2;207;13/01/2020;0;;;
La Luisa 2;208;13/01/2020;0;;;
La Luisa 2;209;13/01/2020;0;;;
La Luisa 2;210;13/01/2020;0;;;
Zambrano;213;13/01/2020;0;;;
San Carlos;700;13/01/2020;0;;;
La Luisa 1;211;13/01/2020;0;;;
La Luisa 1;212;13/01/2020;0;;;
Lagunas ;214;13/01/2020;0;;;
Lagunas ;215;13/01/2020;0;;;
Paila Arriba;303;13/01/2020;0;;;
Riopaila La Ranchera;304;13/01/2020;0;;;
Riopaila La Pista;305;13/01/2020;0;;;
Riopaila Agricola;417;13/01/2020;0;;;
Mangos;701;13/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;13/01/2020;0;;;
Venecia 1;401;13/01/2020;0;;;
Venecia 2;402;13/01/2020;0;;;
Tequendama ;412;13/01/2020;0;;;
Ukrania Venecia;414;13/01/2020;0;;;
